System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,BRAMTiles,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_real_16_conv2d,2073600,255,245,0,10,480,2,0,10,2,145,89,56,1.805ns,
aetherling_copies,big_real_16_conv2d,259200,1177,1112,0,65,2501,4,0,80,4,698,389,309,1.267ns,
aetherling_copies,big_real_16_conv2d,518400,626,593,0,33,1325,2,0,40,2,378,212,166,1.774ns,
aetherling_copies,big_real_16_conv2d,6220800,335,326,0,9,614,2,0,4,2,172,105,67,1.908ns,
aetherling_copies,big_real_16_sharpen,1036800,548,499,48,1,853,2,0,22,2,253,131,122,1.462ns,
aetherling_copies,big_real_16_sharpen,129600,3811,3426,384,1,5693,8,0,176,8,1888,996,892,0.302ns,
aetherling_copies,big_real_16_sharpen,2073600,360,335,24,1,545,2,0,11,2,171,82,89,1.708ns,
aetherling_copies,big_real_16_sharpen,259200,1938,1745,192,1,2921,4,0,88,4,1022,582,440,1.661ns,
aetherling_copies,big_real_16_sharpen,518400,1013,916,96,1,1541,2,0,44,2,483,250,233,1.450ns,
aetherling_copies,big_real_16_sharpen,6220800,438,414,24,0,677,2,0,5,2,201,110,91,1.699ns,
aetherling_copies,big_real_32_conv2d_b2b,1036800,1131,834,0,297,3082,6,0,94,6,803,454,349,0.483ns,
aetherling_copies,big_real_32_conv2d_b2b,2073600,694,544,0,150,1842,6,0,47,6,485,268,217,1.510ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,4208,3016,0,1192,11340,12,0,376,12,2906,1477,1429,0.834ns,
aetherling_copies,big_real_32_conv2d_b2b,518400,2155,1560,0,595,5830,6,0,188,6,1440,758,682,0.974ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,907,830,0,77,1964,6,0,23,6,533,282,251,1.795ns,
aetherling_copies,big_real_32_conv2d,1036800,798,588,0,210,2060,4,0,62,4,550,284,266,1.576ns,
aetherling_copies,big_real_32_conv2d,129600,5894,4223,0,1671,14773,14,2,496,15,3903,1954,1949,0.673ns,
aetherling_copies,big_real_32_conv2d,2073600,481,376,0,105,1221,4,0,31,4,295,147,148,1.481ns,
aetherling_copies,big_real_32_conv2d,259200,2974,2139,0,835,7508,8,0,248,8,1928,954,974,0.330ns,
aetherling_copies,big_real_32_conv2d,518400,1523,1104,0,419,3872,4,0,124,4,1014,506,508,0.226ns,
aetherling_copies,big_real_32_conv2d,6220800,559,508,0,51,1256,4,0,13,4,354,215,139,1.495ns,
aetherling_copies,big_real_32_sharpen,1036800,1160,921,48,191,2308,4,2,70,5,664,363,301,0.426ns,
aetherling_copies,big_real_32_sharpen,129600,8649,6744,384,1521,16633,14,18,560,23,4989,2618,2371,0.089ns,
aetherling_copies,big_real_32_sharpen,2073600,674,554,24,96,1356,4,1,35,4.5,417,229,188,0.459ns,
aetherling_copies,big_real_32_sharpen,259200,4369,3416,192,761,8448,8,8,280,12,2491,1335,1156,0.161ns,
aetherling_copies,big_real_32_sharpen,518400,2231,1754,96,381,4348,4,4,140,6,1277,683,594,0.366ns,
aetherling_copies,big_real_32_sharpen,6220800,753,687,24,42,1391,4,1,17,4.5,418,255,163,0.479ns,
aetherling_copies,big_real_conv2d_b2b,1036800,318,307,0,11,617,0,3,30,1.5,162,86,76,2.078ns,
aetherling_copies,big_real_conv2d_b2b,129600,1798,1717,0,81,3959,6,0,240,6,1098,567,531,1.353ns,
aetherling_copies,big_real_conv2d_b2b,2073600,259,252,0,7,417,0,3,15,1.5,136,74,62,2.411ns,
aetherling_copies,big_real_conv2d_b2b,259200,940,899,0,41,2045,3,0,120,3,604,286,318,1.502ns,
aetherling_copies,big_real_conv2d_b2b,518400,526,505,0,21,1091,0,3,60,1.5,349,177,172,2.032ns,
aetherling_copies,big_real_conv2d_b2b,6220800,363,358,0,5,558,0,3,7,1.5,155,82,73,2.737ns,
aetherling_copies,big_real_conv2d,1036800,214,205,0,9,403,0,2,20,1,124,68,56,1.880ns,
aetherling_copies,big_real_conv2d,129600,1209,1144,0,65,2505,4,0,160,4,741,385,356,1.489ns,
aetherling_copies,big_real_conv2d,2073600,174,168,0,6,272,0,2,10,1,82,41,41,2.335ns,
aetherling_copies,big_real_conv2d,259200,633,600,0,33,1301,2,0,80,2,372,189,183,1.272ns,
aetherling_copies,big_real_conv2d,518400,354,337,0,17,701,0,2,40,1,207,90,117,1.303ns,
aetherling_copies,big_real_conv2d,6220800,231,226,0,5,358,0,2,4,1,96,53,43,2.749ns,
aetherling_copies,big_real_sharpen,1036800,322,289,32,1,485,0,2,22,1,165,88,77,1.894ns,
aetherling_copies,big_real_sharpen,129600,2000,1743,256,1,3077,4,0,176,4,1058,540,518,0.731ns,
aetherling_copies,big_real_sharpen,2073600,219,202,16,1,321,0,2,11,1,110,54,56,2.135ns,
aetherling_copies,big_real_sharpen,259200,1034,905,128,1,1593,2,0,88,2,555,257,298,1.041ns,
aetherling_copies,big_real_sharpen,518400,561,496,64,1,853,0,2,44,1,278,139,139,1.680ns,
aetherling_copies,big_real_sharpen,6220800,272,256,16,0,405,0,2,5,1,100,53,47,2.208ns,
aetherling_copies,big_sharpen,1036800,273,257,16,0,313,0,2,0,1,105,69,36,2.428ns,
aetherling_copies,big_sharpen,129600,1587,1459,128,0,1743,4,0,0,4,581,420,161,1.481ns,
aetherling_copies,big_sharpen,2073600,189,181,8,0,224,0,2,0,1,78,49,29,2.450ns,
aetherling_copies,big_sharpen,259200,841,777,64,0,923,2,0,0,2,301,204,97,1.493ns,
aetherling_copies,big_sharpen,518400,454,422,32,0,515,0,2,0,1,168,117,51,1.947ns,
aetherling_copies,big_sharpen,6220800,265,257,8,0,378,0,2,0,1,108,65,43,2.301ns,
aetherling_copies,conv2d_b2b_3x3_repeat,144,354,317,32,5,631,0,0,0,0,162,81,81,2.849ns,
aetherling_copies,conv2d_b2b_3x3_repeat,16,152,147,0,5,260,0,0,0,0,83,40,43,3.001ns,
aetherling_copies,conv2d_b2b_3x3_repeat,1,1692,1627,0,65,1218,0,0,0,0,618,378,240,1.797ns,
aetherling_copies,conv2d_b2b_3x3_repeat,2,845,812,0,33,709,0,0,0,0,309,172,137,2.628ns,
aetherling_copies,conv2d_b2b_3x3_repeat,48,349,344,0,5,637,0,0,0,0,152,73,79,3.081ns,
aetherling_copies,conv2d_b2b_3x3_repeat,4,419,402,0,17,417,0,0,0,0,159,77,82,3.184ns,
aetherling_copies,conv2d_b2b_3x3_repeat,8,268,259,0,9,325,0,0,0,0,109,55,54,2.939ns,
aetherling_copies,conv2d_b2b,144,341,289,48,4,399,0,0,0,0,124,58,66,3.108ns,
aetherling_copies,conv2d_b2b,16,118,90,24,4,152,0,0,0,0,49,24,25,2.719ns,
aetherling_copies,conv2d_b2b,1,1270,1206,0,64,1079,0,0,0,0,415,232,183,2.723ns,
aetherling_copies,conv2d_b2b,2,635,603,0,32,643,0,0,0,0,211,131,80,2.957ns,
aetherling_copies,conv2d_b2b,48,293,265,24,4,379,0,0,0,0,106,51,55,3.095ns,
aetherling_copies,conv2d_b2b,4,317,301,0,16,375,0,0,0,0,111,61,50,3.168ns,
aetherling_copies,conv2d_b2b,8,226,170,48,8,212,0,0,0,0,77,38,39,3.081ns,
aetherling_copies,conv2d,144,190,154,32,4,266,0,0,0,0,90,43,47,3.329ns,
aetherling_copies,conv2d,16,85,65,16,4,104,0,0,0,0,34,21,13,2.872ns,
aetherling_copies,conv2d,1,1016,952,0,64,663,0,0,0,0,291,150,141,2.639ns,
aetherling_copies,conv2d,2,509,477,0,32,415,0,0,0,0,151,83,68,2.966ns,
aetherling_copies,conv2d,48,176,156,16,4,256,0,0,0,0,69,34,35,3.397ns,
aetherling_copies,conv2d,4,255,239,0,16,251,0,0,0,0,79,39,40,3.411ns,
aetherling_copies,conv2d,8,164,124,32,8,143,0,0,0,0,54,25,29,2.706ns,
aetherling_copies,conv2d_real_b2b,144,299,246,48,5,414,0,0,4,0,122,63,59,3.595ns,
aetherling_copies,conv2d_real_b2b,16,140,109,24,7,192,0,0,15,0,66,26,40,3.088ns,
aetherling_copies,conv2d_real_b2b,1,1674,1593,0,81,1467,0,0,240,0,488,229,259,1.886ns,
aetherling_copies,conv2d_real_b2b,2,839,798,0,41,859,0,0,120,0,276,121,155,2.691ns,
aetherling_copies,conv2d_real_b2b,48,250,221,24,5,401,0,0,7,0,102,50,52,3.619ns,
aetherling_copies,conv2d_real_b2b,4,421,400,0,21,495,0,0,60,0,148,62,86,2.938ns,
aetherling_copies,conv2d_real_b2b,8,268,209,48,11,269,0,0,30,0,92,38,54,3.124ns,
aetherling_copies,conv2d_real,144,176,139,32,5,266,0,0,2,0,73,36,37,3.368ns,
aetherling_copies,conv2d_real,16,95,73,16,6,126,0,0,10,0,40,16,24,3.187ns,
aetherling_copies,conv2d_real,1,1126,1061,0,65,875,0,0,160,0,338,132,206,2.820ns,
aetherling_copies,conv2d_real,2,565,532,0,33,523,0,0,80,0,184,63,121,1.851ns,
aetherling_copies,conv2d_real,48,155,134,16,5,263,0,0,4,0,67,29,38,3.557ns,
aetherling_copies,conv2d_real,4,284,267,0,17,307,0,0,40,0,101,35,66,2.843ns,
aetherling_copies,conv2d_real,8,180,139,32,9,175,0,0,20,0,66,26,40,3.499ns,
aetherling_copies,map,100,21,13,0,8,37,0,0,0,0,8,5,3,4.093ns,
aetherling_copies,map,10,201,121,0,80,325,0,0,0,0,77,40,37,3.937ns,
aetherling_copies,map,1,2001,1201,0,800,3205,0,0,0,0,693,377,316,3.589ns,
aetherling_copies,map,200,11,7,0,4,21,0,0,0,0,6,4,2,4.289ns,
aetherling_copies,map,20,101,61,0,40,165,0,0,0,0,35,14,21,4.065ns,
aetherling_copies,map,25,81,49,0,32,133,0,0,0,0,32,15,17,4.157ns,
aetherling_copies,map,40,51,31,0,20,85,0,0,0,0,19,8,11,4.282ns,
aetherling_copies,map,50,41,25,0,16,69,0,0,0,0,15,8,7,4.064ns,
aetherling_copies,map,5,401,241,0,160,645,0,0,0,0,143,68,75,3.953ns,
aetherling_copies,pyramid,1,274,255,0,19,400,0,0,0,0,107,75,32,3.117ns,
aetherling_copies,pyramid,27,51,44,0,7,80,0,0,0,0,24,18,6,3.843ns,
aetherling_copies,pyramid,3,91,84,0,7,136,0,0,0,0,33,25,8,3.556ns,
aetherling_copies,pyramid,81,127,118,0,9,201,0,0,0,0,50,23,27,3.369ns,
aetherling_copies,pyramid,9,48,41,0,7,74,0,0,0,0,20,14,6,3.561ns,
aetherling_copies,sharpen_real,144,244,196,48,0,317,0,0,3,0,92,43,49,3.497ns,
aetherling_copies,sharpen_real,16,154,121,32,1,177,0,0,11,0,63,32,31,3.374ns,
aetherling_copies,sharpen_real,1,1916,1659,256,1,1447,0,0,176,0,651,312,339,1.998ns,
aetherling_copies,sharpen_real,2,965,836,128,1,815,0,0,88,0,346,160,186,2.347ns,
aetherling_copies,sharpen_real,48,216,184,32,0,309,0,0,5,0,109,65,44,3.530ns,
aetherling_copies,sharpen_real,4,490,425,64,1,459,0,0,44,0,186,82,104,3.036ns,
aetherling_copies,sharpen_real,8,287,222,64,1,257,0,0,22,0,110,47,63,3.145ns,
aetherling_copies,sharpen,144,233,193,40,0,294,0,0,0,0,94,43,51,2.430ns,
aetherling_copies,sharpen,16,120,96,24,0,139,0,0,0,0,43,29,14,2.615ns,
aetherling_copies,sharpen,1,1477,1349,128,0,1023,0,0,0,0,466,249,217,1.537ns,
aetherling_copies,sharpen,2,742,678,64,0,599,0,0,0,0,234,136,98,1.680ns,
aetherling_copies,sharpen,48,212,188,24,0,279,0,0,0,0,90,40,50,2.346ns,
aetherling_copies,sharpen,4,375,343,32,0,347,0,0,0,0,127,62,65,2.105ns,
aetherling_copies,sharpen,8,227,179,48,0,195,0,0,0,0,81,40,41,2.290ns,
aetherling_copies,single_map,1,36,20,0,16,69,0,0,0,0,15,8,7,3.771ns,
aetherling_copies,single_map,2,18,10,0,8,37,0,0,0,0,8,5,3,3.892ns,
aetherling_copies,single_map,4,9,5,0,4,21,0,0,0,0,5,4,1,4.026ns,
aetherling_copies,tuple_div,16,15,6,0,9,45,0,0,1,0,9,2,7,4.630ns,
aetherling_copies,tuple_div,1,63,58,0,5,90,0,0,8,0,32,10,22,4.704ns,
aetherling_copies,tuple_div,2,51,46,0,5,77,0,0,4,0,23,10,13,4.473ns,
aetherling_copies,tuple_div,32,16,7,0,9,46,0,0,1,0,10,1,9,4.708ns,
aetherling_copies,tuple_div,4,36,31,0,5,63,0,0,2,0,15,6,9,4.426ns,
aetherling_copies,tuple_div,64,18,9,0,9,47,0,0,1,0,11,3,8,4.498ns,
aetherling_copies,tuple_div,8,14,5,0,9,44,0,0,1,0,12,4,8,4.707ns,
aetherling_copies,tuple_reduce,1,123,114,0,9,299,0,0,8,0,70,37,33,1.171ns,
aetherling_copies,tuple_reduce,2,96,86,0,10,221,0,0,4,0,61,21,40,2.561ns,
aetherling_copies,tuple_reduce,4,66,56,0,10,159,0,0,2,0,32,16,16,4.339ns,
aetherling_copies,tuple_reduce,8,48,39,0,9,97,0,0,1,0,21,7,14,4.225ns,
halide_to_hardware,big_conv2d,1036800,667,667,0,0,969,0,2,0,2,310,197,113,0.352ns,
halide_to_hardware,big_conv2d,2073600,558,558,0,0,752,0,2,0,2,239,149,90,0.125ns,
halide_to_hardware,conv2d_b2b,16,588,572,16,0,804,0,0,0,0,255,176,79,0.292ns,
halide_to_hardware,conv2d,16,483,467,16,0,621,0,0,0,0,217,161,56,0.262ns,
halide_to_hardware,conv2d,8,626,602,24,0,899,0,0,0,0,284,187,97,0.510ns,
halide_to_hardware,map,100,91,91,0,0,92,0,0,0,0,31,23,8,1.896ns,
halide_to_hardware,map,200,77,77,0,0,70,0,0,0,0,29,21,8,2.031ns,
halide_to_hardware,map,25,168,168,0,0,232,0,0,0,0,77,36,41,1.003ns,
halide_to_hardware,map,50,125,125,0,0,138,0,0,0,0,52,26,26,2.081ns,
halide_to_hardware,sharpen,16,631,615,16,0,879,0,0,0,0,265,173,92,0.301ns,
spatial,conv2d_b2b,16,1429,1410,0,19,1142,0,0,0,0,539,361,178,0.306ns,
spatial,conv2d_b2b,2,1998,1854,0,144,1515,0,0,0,0,671,443,228,0.812ns,
spatial,conv2d_b2b,4,1155,1061,0,94,1078,0,0,0,0,436,288,148,0.699ns,
spatial,conv2d_b2b,8,1210,1153,0,57,1111,0,0,0,0,452,297,155,0.362ns,
spatial,conv2d,16,1039,1031,0,8,831,0,0,0,0,352,239,113,1.332ns,
spatial,conv2d,2,1571,1457,0,114,1196,0,0,0,0,532,349,183,1.174ns,
spatial,conv2d,4,942,863,0,79,850,0,0,0,0,336,200,136,1.115ns,
spatial,conv2d,8,777,764,0,13,751,0,0,0,0,288,170,118,1.543ns,
spatial,down_up,10,0,0,0,0,33,0,0,0,0,10,7,3,,
spatial,down_up,200,288,276,0,12,170,0,0,0,0,106,65,41,-2.244ns,
spatial,down_up,20,0,0,0,0,17,0,0,0,0,4,4,0,,
spatial,down_up,40,0,0,0,0,9,0,0,0,0,3,3,0,,
spatial,down_up,8,0,0,0,0,41,0,0,0,0,12,8,4,,
spatial,map,100,21,12,0,9,34,0,0,0,0,8,4,4,5.076ns,
spatial,map,200,11,6,0,5,18,0,0,0,0,6,3,3,5.428ns,
spatial,map,25,81,48,0,33,130,0,0,0,0,28,11,17,4.892ns,
spatial,map,50,41,24,0,17,66,0,0,0,0,15,6,9,5.324ns,
spatial,sharpen,16,1089,1066,0,23,863,0,0,0,0,385,256,129,1.332ns,
spatial,sharpen,2,1918,1682,0,236,1641,0,0,0,0,644,425,219,0.936ns,
spatial,sharpen,4,1120,985,0,135,1070,0,0,0,0,398,264,134,1.355ns,
spatial,sharpen,8,1169,1093,0,76,955,0,0,0,0,418,273,145,1.738ns,
